Nama Restoran,Preferensi Makanan,Lokasi Restoran,Harga Rata-Rata Makanan di Toko (Rp),Rating Toko,Jenis Suasana,Toko Sering Diskon (Ya/Tidak),Variasi Makanan,Pelayanan Khusus Pasangan (Ya/Tidak),Entertainment,Keramaian Restoran,Disajikan atau Ambil Sendiri,All You Can Eat atau Ala Carte,Latitude,Longitude
Rumah Makan Echo Roso 1,Chinese,3.06 km,27000,4.6,Santai,Tidak,"Chinese, Aneka nasi, Seafood",Tidak,3,2,Disajikan,Ala Carte,-7.84013675,110.3914617
"Vegan Fortunate Coffee, Jogonegaran",Western,3.57 km,45000,4.8,Santai,Ya,"Coffee, Western, Beverages",Tidak,4,3,Disajikan,Ala Carte,-7.793882768,110.3611307
"Onoki Mentai, Depok",Japanese,4.97 km,45000,4.8,Santai,Tidak,"Fast food, Japanese, Rice",Tidak,2,3,Disajikan,Ala Carte,-7.767876872,110.3909205
"Banzai!, Seturan",Japanese,4.56 km,49000,4.7,Formal,Tidak,Japanese,Tidak,3,1,Disajikan,Ala Carte,-7.777161189,110.4084452
"Ichiban Sushi, Plaza Ambarrukmo",Japanese,3.73 km,52000,4.6,Formal,Tidak,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.781685341,110.401484
Umami House Sushi & Dry Ramen,Japanese,2.74 km,21000,4.5,Santai,Ya,Japanese,Tidak,4,3,Disajikan,Ala Carte,-7.799841742,110.4086701
"Zutto Sushi Homemade, Elang",Japanese,4.71 km,30000,4.4,Santai,Tidak,Japanese,Tidak,2,1,Disajikan,Ala Carte,-7.771561608,110.3979915
"Marugame Udon & Tempura, Plaza Ambarrukmo",Japanese,3.64 km,68000,4.8,Formal,Tidak,"Japanese, Noodles",Tidak,4,3,Disajikan,Ala Carte,-7.781661651,110.4012663
"Warunk Sushi Condong Catur, Depok",Japanese,4.98 km,44000,4.6,Santai,Ya,"Rice, Fast food, Japanese",Tidak,1,2,Disajikan,Ala Carte,-7.769863955,110.4014999
Takoyaki Kuliner Lor Tugu,Japanese,4.06 km,22000,4.2,Santai,Tidak,"Snacks, Beverages, Japanese",Tidak,3,2,Disajikan,Ala Carte,-7.770799292,110.4014569
"Lawson Shop, Mantrijeron",Japanese,3.61 km,44000,4.4,Formal,Tidak,"Snacks, Beverages, Japanese, Coffee, Korean",Tidak,1,3,Disajikan,Ala Carte,-7.819165135,110.3555984
"Veno'S Burger, Mergangsan",Western,2.22 km,40000,4.1,Santai,Ya,"Snacks, Fast food, Western",Tidak,3,1,Disajikan,Ala Carte,-7.818754756,110.3681894
OMAH STEAK AND CHICKEN,Western,2.31 km,34000,4.7,Santai,Tidak,Western,Tidak,3,2,Disajikan,Ala Carte,-7.795679717,110.3994857
"Pondok Cabe Bistro, C Simanjuntak",Western,4.25 km,35000,4.5,Santai,Tidak,"Western, Pizza & pasta, Rice, Chicken & duck, Bakso & soto",Tidak,4,3,Disajikan,Ala Carte,-7.776754988,110.3738471
Waroeng Spaghetti Balapan,Western,3.25 km,25000,4.7,Santai,Ya,"Western, Snacks",Tidak,2,2,Disajikan,Ala Carte,-7.783895883,110.3824602
"Burgerax, Patangpuluhan",Western,4.59 km,38000,4.7,Santai,Tidak,"Western, Snacks, Fast food",Tidak,4,3,Disajikan,Ala Carte,-7.806781869,110.3411863
"Shaburi & Kintan Buffet, Ambarukmo Plaza Yogya",Japanese,3.67 km,330000,4.8,Formal,Tidak,"Japanese, Rice, Chicken & duck",Tidak,1,2,Ambil Sendiri,All You Can Eat,-7.782386552,110.4012905
